User ID,Question ID,Score
S1,Q1,1.0
S1,Q2,0.75
S1,Q3,0.0
S1,Q4,1.0
S1,Q5,0.6666666666666666
S1,Q6,1.0
S1,Q7,1.0
S1,Q8,0.0
S1,Q9,1.0
S1,Q10,1.0
S1,Q11,1.0
S1,Q12,1.0
S1,Q13,1.0
S1,Q14,1.0
S1,Q15,1.0
S1,Q16,1.0
S2,Q1,1.0
S2,Q2,0.75
S2,Q3,1.0
S2,Q4,1.0
S2,Q5,0.6666666666666666
S2,Q6,0.0
S2,Q7,1.0
S2,Q8,0.0
S2,Q9,1.0
S2,Q10,1.0
S2,Q11,1.0
S2,Q12,1.0
S2,Q13,1.0
S2,Q14,1.0
S2,Q15,0.0
S2,Q16,0.0
S3,Q1,1.0
S3,Q2,1.0
S3,Q3,1.0
S3,Q4,1.0
S3,Q5,0.6666666666666666
S3,Q6,1.0
S3,Q7,1.0
S3,Q8,0.0
S3,Q9,1.0
S3,Q10,1.0
S3,Q11,1.0
S3,Q12,0.0
S3,Q13,1.0
S3,Q14,1.0
S3,Q15,1.0
S3,Q16,1.0
S4,Q1,1.0
S4,Q2,0.5
S4,Q3,0.0
S4,Q4,1.0
S4,Q5,1.0
S4,Q6,1.0
S4,Q7,1.0
S4,Q8,1.0
S4,Q9,1.0
S4,Q10,1.0
S4,Q11,0.0
S4,Q12,1.0
S4,Q13,1.0
S4,Q14,1.0
S4,Q15,1.0
S4,Q16,1.0
S5,Q1,1.0
S5,Q2,0.75
S5,Q3,0.0
S5,Q4,0.5
S5,Q5,0.6666666666666666
S5,Q6,1.0
S5,Q7,1.0
S5,Q8,0.0
S5,Q9,0.0
S5,Q10,0.0
S5,Q11,0.0
S5,Q12,1.0
S5,Q13,1.0
S5,Q14,1.0
S5,Q15,0.0
S5,Q16,1.0
S6,Q1,1.0
S6,Q2,0.25
S6,Q3,0.0
S6,Q4,1.0
S6,Q5,0.6666666666666666
S6,Q6,1.0
S6,Q7,1.0
S6,Q8,0.0
S6,Q9,1.0
S6,Q10,0.0
S6,Q11,1.0
S6,Q12,1.0
S6,Q13,1.0
S6,Q14,1.0
S6,Q15,0.0
S6,Q16,1.0
S7,Q1,1.0
S7,Q2,0.75
S7,Q3,1.0
S7,Q4,1.0
S7,Q5,1.0
S7,Q6,1.0
S7,Q7,1.0
S7,Q8,1.0
S7,Q9,1.0
S7,Q10,1.0
S7,Q11,1.0
S7,Q12,1.0
S7,Q13,1.0
S7,Q14,1.0
S7,Q15,0.0
S7,Q16,1.0
S8,Q1,0.0
S8,Q2,0.25
S8,Q3,0.0
S8,Q4,1.0
S8,Q5,0.6666666666666666
S8,Q6,1.0
S8,Q7,1.0
S8,Q8,1.0
S8,Q9,1.0
S8,Q10,1.0
S8,Q11,0.0
S8,Q12,0.0
S8,Q13,1.0
S8,Q14,1.0
S8,Q15,0.0
S8,Q16,1.0
S9,Q1,1.0
S9,Q2,0.75
S9,Q3,1.0
S9,Q4,1.0
S9,Q5,1.0
S9,Q6,1.0
S9,Q7,1.0
S9,Q8,0.0
S9,Q9,1.0
S9,Q10,1.0
S9,Q11,1.0
S9,Q12,1.0
S9,Q13,1.0
S9,Q14,1.0
S9,Q15,1.0
S9,Q16,1.0
S10,Q1,1.0
S10,Q2,0.75
S10,Q3,0.0
S10,Q4,1.0
S10,Q5,1.0
S10,Q6,1.0
S10,Q7,1.0
S10,Q8,1.0
